Path,Label,LabelInd
HorseRiding/v_HorseRiding_g19_c06.avi,HorseRiding,10
IceDancing/v_IceDancing_g11_c03.avi,IceDancing,11
PoleVault/v_PoleVault_g18_c04.avi,PoleVault,13
Skiing/v_Skiing_g20_c06.avi,Skiing,17
Skiing/v_Skiing_g25_c03.avi,Skiing,17
Diving/v_Diving_g23_c06.avi,Diving,6
LongJump/v_LongJump_g08_c05.avi,LongJump,12
Biking/v_Biking_g25_c03.avi,Biking,3
BasketballDunk/v_BasketballDunk_g21_c04.avi,BasketballDunk,2
HorseRiding/v_HorseRiding_g09_c03.avi,HorseRiding,10
HorseRiding/v_HorseRiding_g21_c03.avi,HorseRiding,10
Basketball/v_Basketball_g11_c02.avi,Basketball,1
RopeClimbing/v_RopeClimbing_g16_c02.avi,RopeClimbing,14
IceDancing/v_IceDancing_g21_c04.avi,IceDancing,11
PoleVault/v_PoleVault_g16_c05.avi,PoleVault,13
CricketBowling/v_CricketBowling_g14_c04.avi,CricketBowling,5
Skiing/v_Skiing_g16_c03.avi,Skiing,17
Surfing/v_Surfing_g17_c07.avi,Surfing,20
BasketballDunk/v_BasketballDunk_g12_c01.avi,BasketballDunk,2
SkateBoarding/v_SkateBoarding_g14_c04.avi,SkateBoarding,16
TennisSwing/v_TennisSwing_g25_c01.avi,TennisSwing,21
Surfing/v_Surfing_g10_c05.avi,Surfing,20
LongJump/v_LongJump_g16_c03.avi,LongJump,12
LongJump/v_LongJump_g11_c06.avi,LongJump,12
SoccerJuggling/v_SoccerJuggling_g14_c01.avi,SoccerJuggling,19
HorseRiding/v_HorseRiding_g15_c04.avi,HorseRiding,10
IceDancing/v_IceDancing_g12_c06.avi,IceDancing,11
TennisSwing/v_TennisSwing_g23_c04.avi,TennisSwing,21
SkateBoarding/v_SkateBoarding_g13_c03.avi,SkateBoarding,16
TennisSwing/v_TennisSwing_g14_c05.avi,TennisSwing,21
RopeClimbing/v_RopeClimbing_g20_c02.avi,RopeClimbing,14
LongJump/v_LongJump_g17_c04.avi,LongJump,12
CricketBowling/v_CricketBowling_g12_c05.avi,CricketBowling,5
Skiing/v_Skiing_g24_c04.avi,Skiing,17
RopeClimbing/v_RopeClimbing_g21_c03.avi,RopeClimbing,14
Diving/v_Diving_g10_c02.avi,Diving,6
HorseRiding/v_HorseRiding_g18_c04.avi,HorseRiding,10
Diving/v_Diving_g24_c04.avi,Diving,6
GolfSwing/v_GolfSwing_g20_c03.avi,GolfSwing,9
PoleVault/v_PoleVault_g14_c04.avi,PoleVault,13
LongJump/v_LongJump_g22_c04.avi,LongJump,12
VolleyballSpiking/v_VolleyballSpiking_g12_c02.avi,VolleyballSpiking,23
Biking/v_Biking_g15_c05.avi,Biking,3
PoleVault/v_PoleVault_g20_c06.avi,PoleVault,13
Skijet/v_Skijet_g21_c03.avi,Skijet,18
SalsaSpin/v_SalsaSpin_g12_c03.avi,SalsaSpin,15
CricketBowling/v_CricketBowling_g17_c03.avi,CricketBowling,5
Diving/v_Diving_g09_c06.avi,Diving,6
Diving/v_Diving_g21_c02.avi,Diving,6
IceDancing/v_IceDancing_g14_c01.avi,IceDancing,11
WalkingWithDog/v_WalkingWithDog_g18_c04.avi,WalkingWithDog,24
SkateBoarding/v_SkateBoarding_g22_c01.avi,SkateBoarding,16
Basketball/v_Basketball_g23_c06.avi,Basketball,1
Skiing/v_Skiing_g15_c05.avi,Skiing,17
SkateBoarding/v_SkateBoarding_g25_c01.avi,SkateBoarding,16
SalsaSpin/v_SalsaSpin_g08_c03.avi,SalsaSpin,15
Surfing/v_Surfing_g23_c04.avi,Surfing,20
Skijet/v_Skijet_g17_c04.avi,Skijet,18
Diving/v_Diving_g12_c04.avi,Diving,6
Skiing/v_Skiing_g18_c03.avi,Skiing,17
SkateBoarding/v_SkateBoarding_g16_c03.avi,SkateBoarding,16
FloorGymnastics/v_FloorGymnastics_g11_c02.avi,FloorGymnastics,8
Surfing/v_Surfing_g09_c03.avi,Surfing,20
CricketBowling/v_CricketBowling_g23_c02.avi,CricketBowling,5
SalsaSpin/v_SalsaSpin_g21_c03.avi,SalsaSpin,15
BasketballDunk/v_BasketballDunk_g22_c03.avi,BasketballDunk,2
SoccerJuggling/v_SoccerJuggling_g13_c04.avi,SoccerJuggling,19
GolfSwing/v_GolfSwing_g15_c04.avi,GolfSwing,9
LongJump/v_LongJump_g11_c03.avi,LongJump,12
Diving/v_Diving_g12_c05.avi,Diving,6
SoccerJuggling/v_SoccerJuggling_g10_c04.avi,SoccerJuggling,19
Basketball/v_Basketball_g12_c01.avi,Basketball,1
Surfing/v_Surfing_g09_c01.avi,Surfing,20
FloorGymnastics/v_FloorGymnastics_g14_c04.avi,FloorGymnastics,8
SoccerJuggling/v_SoccerJuggling_g09_c04.avi,SoccerJuggling,19
IceDancing/v_IceDancing_g23_c07.avi,IceDancing,11
TrampolineJumping/v_TrampolineJumping_g23_c03.avi,TrampolineJumping,22
Surfing/v_Surfing_g19_c04.avi,Surfing,20
FloorGymnastics/v_FloorGymnastics_g12_c04.avi,FloorGymnastics,8
Skijet/v_Skijet_g12_c01.avi,Skijet,18
TrampolineJumping/v_TrampolineJumping_g09_c03.avi,TrampolineJumping,22
TennisSwing/v_TennisSwing_g19_c06.avi,TennisSwing,21
SalsaSpin/v_SalsaSpin_g10_c04.avi,SalsaSpin,15
CliffDiving/v_CliffDiving_g13_c04.avi,CliffDiving,4
IceDancing/v_IceDancing_g14_c04.avi,IceDancing,11
SkateBoarding/v_SkateBoarding_g21_c03.avi,SkateBoarding,16
CricketBowling/v_CricketBowling_g16_c02.avi,CricketBowling,5
TrampolineJumping/v_TrampolineJumping_g13_c02.avi,TrampolineJumping,22
SalsaSpin/v_SalsaSpin_g23_c04.avi,SalsaSpin,15
Skijet/v_Skijet_g08_c01.avi,Skijet,18
CliffDiving/v_CliffDiving_g20_c07.avi,CliffDiving,4
Biking/v_Biking_g14_c02.avi,Biking,3
Skiing/v_Skiing_g11_c01.avi,Skiing,17
PoleVault/v_PoleVault_g15_c03.avi,PoleVault,13
SkateBoarding/v_SkateBoarding_g24_c05.avi,SkateBoarding,16
VolleyballSpiking/v_VolleyballSpiking_g11_c03.avi,VolleyballSpiking,23
CliffDiving/v_CliffDiving_g23_c01.avi,CliffDiving,4
Basketball/v_Basketball_g25_c04.avi,Basketball,1
WalkingWithDog/v_WalkingWithDog_g19_c04.avi,WalkingWithDog,24
LongJump/v_LongJump_g12_c03.avi,LongJump,12
SoccerJuggling/v_SoccerJuggling_g08_c04.avi,SoccerJuggling,19
CliffDiving/v_CliffDiving_g19_c04.avi,CliffDiving,4
IceDancing/v_IceDancing_g22_c06.avi,IceDancing,11
LongJump/v_LongJump_g17_c01.avi,LongJump,12
Surfing/v_Surfing_g16_c06.avi,Surfing,20
CricketBowling/v_CricketBowling_g24_c02.avi,CricketBowling,5
HorseRiding/v_HorseRiding_g21_c02.avi,HorseRiding,10
Skiing/v_Skiing_g20_c02.avi,Skiing,17
Skiing/v_Skiing_g19_c04.avi,Skiing,17
Basketball/v_Basketball_g15_c04.avi,Basketball,1
RopeClimbing/v_RopeClimbing_g13_c05.avi,RopeClimbing,14
RopeClimbing/v_RopeClimbing_g23_c02.avi,RopeClimbing,14
PoleVault/v_PoleVault_g19_c03.avi,PoleVault,13
RopeClimbing/v_RopeClimbing_g19_c01.avi,RopeClimbing,14
TennisSwing/v_TennisSwing_g12_c06.avi,TennisSwing,21
Basketball/v_Basketball_g15_c03.avi,Basketball,1
HorseRiding/v_HorseRiding_g22_c05.avi,HorseRiding,10
Basketball/v_Basketball_g21_c01.avi,Basketball,1
Diving/v_Diving_g10_c06.avi,Diving,6
